,episode reward,episode,Method
0,-1236.7350153605323,1,DDPG-HER
1,-1404.9346103280532,2,DDPG-HER
2,-1314.9057546665979,3,DDPG-HER
3,-1311.064341375471,4,DDPG-HER
4,-1399.3456806047025,5,DDPG-HER
5,-1363.1914662997792,6,DDPG-HER
6,-1393.5528016139974,7,DDPG-HER
7,-1499.9301121773349,8,DDPG-HER
8,-1504.1481463746973,9,DDPG-HER
9,-1476.8999585032773,10,DDPG-HER
10,-1433.6463622339193,11,DDPG-HER
11,-1449.2793045385117,12,DDPG-HER
12,-1132.4219745346686,13,DDPG-HER
13,-1100.5542927696813,14,DDPG-HER
14,-826.8023074653717,15,DDPG-HER
15,-846.9096102757685,16,DDPG-HER
16,-839.8055191185688,17,DDPG-HER
17,-1139.0902220945172,18,DDPG-HER
18,-971.8897019290447,19,DDPG-HER
19,-970.9553125815468,20,DDPG-HER
20,-825.367556177204,21,DDPG-HER
21,-579.3000496436296,22,DDPG-HER
22,-279.0491052060501,23,DDPG-HER
23,-254.43272981996978,24,DDPG-HER
24,-254.58759081050994,25,DDPG-HER
25,-400.4165842585172,26,DDPG-HER
26,-371.1117198052165,27,DDPG-HER
27,-371.22832507220045,28,DDPG-HER
28,-399.10912028604264,29,DDPG-HER
29,-398.48975126590756,30,DDPG-HER
30,-123.80716842598046,31,DDPG-HER
31,-125.56727357439941,32,DDPG-HER
32,-149.63204079503026,33,DDPG-HER
33,-121.89219992573291,34,DDPG-HER
34,-121.52605548109041,35,DDPG-HER
35,-146.29552884091822,36,DDPG-HER
36,-120.70722481918297,37,DDPG-HER
37,-142.62493765400473,38,DDPG-HER
38,-142.7136159451456,39,DDPG-HER
39,-217.61747010124114,40,DDPG-HER
40,-169.25839219580578,41,DDPG-HER
41,-192.7631913707385,42,DDPG-HER
42,-196.6909606940527,43,DDPG-HER
43,-197.51419637999535,44,DDPG-HER
44,-144.8531353263877,45,DDPG-HER
45,-168.91250863421743,46,DDPG-HER
46,-168.87499442646828,47,DDPG-HER
47,-143.02961169206637,48,DDPG-HER
48,-141.69100786187508,49,DDPG-HER
49,-120.69480748453275,50,DDPG-HER
50,-96.92845282490217,51,DDPG-HER
51,-135.81624196519402,52,DDPG-HER
52,-111.78771970972949,53,DDPG-HER
53,-112.08702418802957,54,DDPG-HER
54,-136.4427423560025,55,DDPG-HER
55,-160.6300719714064,56,DDPG-HER
56,-121.9462616214408,57,DDPG-HER
57,-145.26344996934102,58,DDPG-HER
58,-145.75770398834692,59,DDPG-HER
59,-163.1316882392337,60,DDPG-HER
60,-162.26471956850597,61,DDPG-HER
61,-161.69906836448223,62,DDPG-HER
62,-138.91876245591533,63,DDPG-HER
63,-138.33100719078547,64,DDPG-HER
64,-371.7634066629219,65,DDPG-HER
65,-372.0569696449491,66,DDPG-HER
66,-421.13072471443365,67,DDPG-HER
67,-420.6230904512387,68,DDPG-HER
68,-696.6164802029386,69,DDPG-HER
69,-420.1431976927095,70,DDPG-HER
70,-420.1573126576962,71,DDPG-HER
71,-372.4562084792726,72,DDPG-HER
72,-396.05536997618657,73,DDPG-HER
73,-167.05585044769563,74,DDPG-HER
74,-207.85974984106264,75,DDPG-HER
75,-208.6539900052813,76,DDPG-HER
76,-207.16913595001006,77,DDPG-HER
77,-229.9757396148992,78,DDPG-HER
78,-204.9099280483393,79,DDPG-HER
79,-199.58938566585772,80,DDPG-HER
80,-197.35403007157186,81,DDPG-HER
81,-199.1185783887453,82,DDPG-HER
82,-176.7407927384315,83,DDPG-HER
83,-154.80429169830578,84,DDPG-HER
84,-143.79808360535247,85,DDPG-HER
85,-144.89478866025374,86,DDPG-HER
86,-120.36423148353443,87,DDPG-HER
87,-158.85929417243398,88,DDPG-HER
88,-159.7844169975312,89,DDPG-HER
89,-112.16853982386249,90,DDPG-HER
90,-111.73404319534454,91,DDPG-HER
91,-157.90959915927462,92,DDPG-HER
92,-119.51392044768404,93,DDPG-HER
93,-154.89781584975373,94,DDPG-HER
94,-201.5217549594518,95,DDPG-HER
95,-221.92207250839928,96,DDPG-HER
96,-199.7303819005075,97,DDPG-HER
97,-200.14693454292188,98,DDPG-HER
98,-154.98530392206555,99,DDPG-HER
99,-124.16177806572534,100,DDPG-HER
